nr;code;description;augmentedDescription
1;1000;Purchase price of stocks, bonds or mutual funds including broker fees;Understanding the difference in stocks, bonds, mutual funds, and ETFs. Think of investing as if you were building a house, with each investment vehicle as a type of tool. The four most common types of investment vehicles include: individual stocks and bonds, mutual funds, and exchange traded funds (ETFs). Purchase price of stocks, bonds or mutual funds including broker fees
2;1100;Precious metals;Historically, precious metals were important as currency but are now regarded mainly as investment and industrial commodities. Gold, silver, platinum, and palladium each have an ISO 4217 currency code. The best known precious metals are the coinage metals, which are gold and silver. Precious metals
3;2000;Savings account deposit; savings account is the most basic type of account at a bank or credit union, allowing you to deposit money, keep the funds safe, and withdraw funds as needed. Savings accounts typically pay interest on your deposits, which helps you grow your money, but rates are relatively low on these low-risk accounts. Savings account deposit
4;2100;Insurance other than health, hospital, vehicle and property;Insurance is a means of protection from financial loss. It is a form of risk management primarily used to hedge against the risk of a contingent, uncertain loss. Insurance other than health, hospital, vehicle and property
5;2200;Retirement plans;A retirement annuity plan (RAP) is a UK pension plan designed to build a lump sum for retirement. Part of the lump sum must be used to buy an annuity and part can be taken a tax free lump sum. Retirement plans
6;4000;Contributions;a gift or payment to a common fund or collection. Contributions
7;4100;Cash gifts;cash is money in the physical form of currency, such as banknotes and coins. In bookkeeping and finance, cash is current assets comprising currency or currency equivalents that can be accessed immediately or near-immediately (as in the case of money market accounts). Cash is seen either as a reserve for payments, in case of a structural or incidental negative cash flow or as a way to avoid a downturn on financial markets. a thing given willingly to someone without payment  a present. Gift is an item given to someone without the expectation of payment or return. An item is not a gift if that item is already owned by the one to whom it is given. Although gift-giving might involve an expectation of reciprocity, a gift is meant to be free. In many countries, the act of mutually exchanging money, goods, etc. may sustain social relations and contribute to social cohesion.  Cash gifts
8;4190;Gifts not specified;is an item given to someone without the expectation of payment or return. An item is not a gift if that item is already owned by the one to whom it is given. Although gift-giving might involve an expectation of reciprocity, a gift is meant to be free. In many countries, the act of mutually exchanging money, goods, etc. may sustain social relations and contribute to social cohesion. Economists have elaborated the economics of gift-giving into the notion of a gift economy. By extension the term gift can refer to anything that makes the other happier or less sad, especially as a favor, including forgiveness and kindness. Gifts are also first and foremost presented on occasions - birthdays and, in Western cultures, Christmas being the main examples and other occasions like birthdays. Gifts not specified
9;5000;Alimony and child support;Alimony, maintenance, spousal support and spousal maintenance is a legal obligation on a person to provide financial support to their spouse before or after marital separation or divorce. The obligation arises from the divorce law or family law of each country. Alimony and child support
10;9000;Mortgage payment including coop;a legal agreement by which a bank, building society, etc. lends money at interest in exchange for taking title of the debtor's property, with the condition that the conveyance of title becomes void upon the payment of the debt. Mortgage payment including coop
11;9900;Property assessment;Property Assessment is the process of establishing a dollar value for property for property tax purposes. Property tax is an “ad valorem” tax based on the principle that the amount of tax paid should depend on the value of the property owned. Property assessment
12;10110;Flour;substance, generally a powder, made by grinding raw grains or roots and used to make many different foods. Cereal flour is the main ingredient of bread, which is a staple food for many cultures. Wheat flour is one of the most important ingredients in Oceanic, European, South American, North American, Middle Eastern, North Indian and North African cultures, and is the defining ingredient in their styles of breads and pastries.  Wheat is the most common base for flour. Corn flour has been important in Mesoamerican cuisine since ancient times and remains a staple in the Americas. Rye flour is a constituent of bread in central Europe.  Cereal flour consists either of the endosperm, germ, and bran together (whole-grain flour) or of the endosperm alone (refined flour). Flour
13;10120;Prepared flour mixes;Establishments primarily engaged in preparing flour mixes or doughs from purchased flour. Establishments primarily engaged in milling flour from grain and producing mixes or doughs are classified in Industry 2041. substance, generally a powder, made by grinding raw grains or roots and used to make many different foods. Cereal flour is the main ingredient of bread, which is a staple food for many cultures. Wheat flour is one of the most important ingredients in Oceanic, European, South American, North American, Middle Eastern, North Indian and North African cultures, and is the defining ingredient in their styles of breads and pastries.  Wheat is the most common base for flour. Corn flour has been important in Mesoamerican cuisine since ancient times and remains a staple in the Americas. Rye flour is a constituent of bread in central Europe.  Cereal flour consists either of the endosperm, germ, and bran together (whole-grain flour) or of the endosperm alone (refined flour). Prepared flour mixes
14;10210;Ready-to-eat and cooked cereals;Breakfast cereal (or just cereal) is a food product made from processed cereal grains that is often eaten as the first meal of the day in primarily Western societies. It is often mixed with milk, yogurt, or fruit. Some companies promote their products for the health benefits from eating oat-based and high-fiber cereals. In America, cereals are often fortified with vitamins but can also lack many of the vitamins needed for a healthy breakfast. A significant proportion of cereals are made with high sugar content. Ready-to-eat and cooked cereals
15;10310;Rice;Rice is the seed of the grass species Oryza sativa (Asian rice) or Oryza glaberrima (African rice). As a cereal grain, it is the most widely consumed staple food for a large part of the world's human population, especially in Asia. It is the agricultural commodity with the third-highest worldwide production Rice
16;10320;Pasta, cornmeal and other cereal products;Any food made from wheat, rice, oats, cornmeal, barley or another cereal grain is a grain product. Bread, pasta, oatmeal, breakfast cereals, tortillas, and grits are examples of grain products. Grains are divided up into two subgroups, Whole Grains and Refined Grains. Pasta, cornmeal and other cereal products
17;20110;White bread;bread that is light in colour, made with flour that has been through a refining process. White bread
18;20210;Bread, other than white;bread that is light brown in colour, typically made using unbleached or unrefined wholemeal flour. Bread, other than white
19;20310;Biscuits and rolls;a small baked unleavened cake, typically crisp, flat, and sweet. A rolling pin is used to roll out cookie dough. Licensed from iStockPhoto. verb. Rollout is defined as to flatten or spread with a roller, or to leave, or to move on wheels. An example of roll out is to flatten cookie dough with a rolling pin. Biscuits and rolls
20;20410;Cakes and cupcakes;A cupcake (also: fairy cake bun  fairy cake or patty cake) is a small cake designed to serve one person, which may be baked in a small thin paper or aluminum cup. As with larger cakes, icing and other cake decorations such as fruit and candy may be applied. Cakes and cupcakes
21;20510;Cookies;A cookie is a baked or cooked food that is small, flat and sweet. It usually contains flour, sugar and some type of oil or fat. It may include other ingredients such as raisins, oats, chocolate chips, nuts, etc. Cookies
22;20610;Crackers;cracker is a baked food typically made from flour. Flavorings or seasonings, such as salt, herbs, seeds, and/or cheese, may be added to the dough or sprinkled on top before baking. Crackers are often branded as a nutritious and convenient way to consume a staple food or cereal grain.  Crackers can be eaten on their own but can also accompany other food items, such as cheese or meat slices  dips  or soft spreads such as jam, butter, or peanut butter. Bland or mild crackers are sometimes used as a palate cleanser in food product testing or flavor testing, between samples. A precedent for the modern cracker can be found in nautical ship biscuits, military hardtack, and sacramental bread. Crackers
23;20620;Bread and cracker products;"cracker is a baked food typically made from flour. Flavorings or seasonings, such as salt, herbs, seeds, and/or cheese, may be added to the dough or sprinkled on top before baking. Crackers are often branded as a nutritious and convenient way to consume a staple food or cereal grain.  Crackers can be eaten on their own but can also accompany other food items, such as cheese or meat slices  dips  or soft spreads such as jam, butter, or peanut butter. Bland or mild crackers are sometimes used as a palate cleanser in food product testing or flavor testing, between samples. A precedent for the modern cracker can be found in nautical ship biscuits, military hardtack, and sacramental bread. Bread is a staple food prepared from a doughof flour and water, usually by baking. Throughout recorded history it has been popular around the world and is one of the oldest artificial foods, having been of importance since the dawn of agriculture.
Proportions of types of flour and other ingredients vary widely, as do modes of preparation. As a result, types, shapes, sizes, and textures of breads differ around the world. Bread may be leavened by processes such as reliance on naturally occurring sourdoughmicrobes, chemicals, industrially produced yeast, or high-pressure aeration. Some bread is cooked before it can leaven, including for traditional or religious reasons. Non-cereal ingredients such as fruits, nuts and fats may be included. Commercial bread commonly contains additives to improve flavor, texture, color, shelf life, nutrition, and ease of manufacturing.
 Bread and cracker products"
24;20710;Sweetrolls, coffee cakes, doughnuts;"A sweet roll or sweet bun refers to any of a number of sweet, baked, yeast-leavened breakfast or dessert foods. They may contain spices, nuts, candied fruits, etc., and are often glazed or topped with icing. a cake or sweet bread flavoured with cinnamon or topped or filled with cinnamon sugar, eaten usually with coffee. a small fried cake of sweetened dough, typically in the shape of a ball or ring. a ring-shaped object, in particular a vacuum chamber in some types of particle accelerator. Sweetrolls, coffee cakes, doughnuts
"
25;20810;Frozen and refrigerated bakery products;Frozen and refrigerated bakery products
26;20820;Pies, tarts, turnovers;a baked dish of fruit, or meat and vegetables, typically with a top and base of pastry. an open pastry case containing a sweet or savoury filling. A turnover is a type of pastry made by placing a filling on a piece of dough, folding the dough over, sealing, and baking it. Turnovers can be sweet or savory and are often made as a sort of portable meal or dessert, similar to a sandwich. Pies, tarts, turnovers
27;30110;Ground beef;"Ground beef, beef mince, minced beef, and minced meat (not to be confused with the mixture of chopped dried fruit, distilled spirits and spices referred to as ""mincemeat""), is a ground meat made of beef that has been finely chopped with a large knife or a meat grinder. It is used in many recipes including hamburgers and spaghetti bolognese. In some parts of the world, meat grinders are called mincers. Ground beef"
28;30210;Chuck roast;"Image result for Chuck roast definition Chuck steak is a cut of beef and is part of the sub primal cut known as the chuck. The typical chuck steak is a rectangular cut, about 1"" thick and containing parts of the shoulder bones, and is often known as a ""7-bone steak,"" as the shape of the shoulder bone in cross section resembles the numeral '7'. Chuck roast"
29;30310;Round roast;"A round steak is a beef steak from the ""round"", the rear leg of the cow. The round is divided into cuts including the eye (of) round, bottom round, and top round, with or without the ""round"" bone (femur), and may include the knuckle (sirloin tip), depending on how the round is separated from the loin. Round roast"
30;30410;Other roast;cook (food, especially meat) by prolonged exposure to heat in an oven or over a fire. Other roast
31;30510;Round steak;"A round steak is a beef steak from the ""round"", the rear leg of the cow. The round is divided into cuts including the eye (of) round, bottom round, and top round, with or without the ""round"" bone (femur), and may include the knuckle (sirloin tip), depending on how the round is separated from the loin. Round steak"
