"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2"
"1",-1.64094981361844,"5","male","45","8",0.283970170184043,-0.0828850551204491
"1",-1.64094981361844,"5","male","45","8",-0.665306248932144,1.25254137474087
"1",-0.438295277025364,"7","couple","17","9",-0.232480842167511,0.791119436845892
"1",-0.799029645508517,"8","female","48","9",0.193524697993018,0.113122433458129
"1",-0.501410044362359,"8","couple","27","9",0.475268294092589,-0.615154648699113
"1",0.169918620495645,"6","male","0","9",-0.0153540630505457,0.484995929035049
"1",0.169918620495645,"6","male","0","9",0.0389174860408563,0.39711414211164
"1",0.616665706073964,"7","female","6","9",0.448910644625264,-0.528573258305748
"1",0.470127551658734,"7","couple","42","9",0.542967139455878,-0.867503019093362
"1",0.377067594158048,"5","female","42","6",-0.305794988182866,0.881154889697862
"1",-0.925665559365796,"7","female","26","9",0.4621399107785,-0.571338099918323
"1",-0.925665559365796,"7","female","26","9",0.513284125490667,-0.750808791620317
"1",-2.03191034611041,"5","male","34","8",-0.949476917638466,1.48487344396845
"1",0.334355278950696,"6","female","6","9",0.122739208690513,0.25002437760417
"1",0.520110676191462,"7","couple","17","9",0.404684053243276,-0.394565859328511
"1",0.89897613319723,"5","female","17","7",-1.70277527177139,1.93566163267051
"1",0.459987543278302,"8","couple","34","9",0.44678773741597,-0.521833994430038
"1",0.459987543278302,"8","couple","34","9",0.413834551495125,-0.421248336496663
"1",-1.1746810039776,"6","female","45","6",0.569374734242075,-0.98124244044459
"1",-1.08837564549577,"5","male","49","4",0.723326329282522,-2.13535789267704
"1",-1.60285531101044,"5","female","42","8",0.251919820981801,-0.0103653024589253
"1",0.597704254359906,"8","couple","49","9",0.41748368678387,-0.43203335682285
"1",-0.22177073281178,"4","male","0","3",0.0447891161974146,0.387279976589904
"1",0.261192695000189,"7","male","48","9",0.420021403334311,-0.43958325621003
"1",0.261192695000189,"7","male","48","9",-0.538880818421544,1.13345852505042
"1",-1.53387945688681,"4","female","8","4",-0.168068347987069,0.706951053620697
"1",-0.148226354242708,"7","male","53","6",0.548879469803671,-0.892080582057773
