"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3"
"1",-1.64385862496815,"5","male","45","8",0.215805769361692,0.463653158295766,0.0247246641675495
"1",-1.64385862496815,"5","male","45","8",0.65549160453898,1.02960643014284,-1.45813084828844
"1",-0.802090507088883,"8","female","48","9",1.18334524407808,-0.0340568883344982,-0.246295203574859
"1",-0.504524655847662,"8","couple","27","9",-0.480748375150684,0.100981262055869,0.619760926201038
"1",0.166682767493389,"6","male","0","9",0.876770772290345,-0.161398124759208,0.150093501018765
"1",0.166682767493389,"6","male","0","9",-0.618241373837339,0.69653921526311,0.127097894878027
"1",0.613349170840806,"7","female","6","9",-0.303340381865874,0.0249674635217095,0.619092226003012
"1",0.613349170840806,"7","female","6","9",-0.0523842695798515,-0.177756341792829,0.661152267742265
"1",0.466837481120237,"7","couple","42","9",-0.0272200386014655,0.230229649921607,0.367142091560412
"1",0.373794330186893,"5","female","42","6",-0.26379472702082,0.483334867102242,0.23244424655357
"1",-0.928703550583104,"7","female","26","9",-0.0460565248779995,0.0575429234930336,0.507114130126729
"1",-0.928703550583104,"7","female","26","9",0.35621660355364,0.639946958730338,-0.286415168991609
"1",-1.39387165518873,"4","male","12","6",-0.910710613294607,1.20866654387501,-0.575301432099801
"1",-2.03474855024415,"5","male","34","8",2.56401040460643,-1.30666818285494,-3.29697590274885
"1",0.331089728795678,"6","female","6","9",0.495585302524829,0.47016717003953,-0.167821230172722
"1",0.516811578733428,"7","couple","17","9",0.541963818707607,0.18975839739099,0.0978344544720024
"1",0.516811578733428,"7","couple","17","9",-0.0229789673196948,-0.147816485077322,0.632646395858567
"1",0.895608612885931,"5","female","17","7",0.394651052990003,0.211330524861016,0.171297003948128
"1",0.456699304018673,"8","couple","34","9",-1.30803699152338,-1.32122926232792,1.33429707112574
"1",0.456699304018673,"8","couple","34","9",-0.495771044009857,-0.110342373685456,0.757091208100362
"1",0.794126443380903,"7","couple","24","9",1.02989952259831,-0.160731535039707,0.0212161833535277
"1",-1.17767402316879,"6","female","45","6",-0.248514939351011,0.369099612580123,0.334887358630172
"1",-1.09138425137815,"5","male","49","4",-1.29260340081295,1.73153989266125,-3.29059327360449
"1",0.594391143552501,"8","couple","49","9",-1.69554613200299,0.505289749678424,0.5161124454157
"1",0.25794035795989,"7","male","48","9",0.516805834059524,0.72561310252835,-0.553248299736432
"1",0.25794035795989,"7","male","48","9",0.919326648262504,0.736731812834255,-1.06874754596864
"1",-0.151404750471006,"7","male","53","6",0.41104075347235,-0.90239469101647,0.812917194357165
"1",-0.586148923264232,"7","male","32","5",0.857924047151091,0.63904273409596,-0.775946192407372
"1",0.759186707829254,"7","male","6","6",-0.271139903869545,0.589712409202068,0.123438175248054
"1",-0.814415940690568,"7","couple","17","6",-0.563725947592546,-0.00212026215326766,0.709022669002345
"1",0.415653240079074,"3","male","0","4",1.68227809231047,0.39964989777855,-2.16885398768482
"1",0.650762640874474,"4","male","26","7",0.0410770116889205,-0.849154507505954,0.93667535717555
"1",0.650762640874474,"4","male","26","7",0.572334782622965,-1.04621821900552,0.788124175035688
"1",0.992441079217632,"6","female","12","5",-0.244769984858486,-0.440427308500109,0.860022332120919
"1",0.992441079217632,"6","female","12","5",0.358540540185392,-0.168127683765683,0.480079602567621
"1",0.960653925717379,"6","couple","51","9",0.134760353163795,0.108159683110818,0.393312875666453
"1",0.373794330186893,"8","female","39","9",1.29318058712166,-0.487921489761899,0.0111674544745679
"1",0.373794330186893,"8","female","39","9",0.599853390782155,0.192646038984817,0.0552025330268415
"1",-1.43989724056807,"7","female","8","9",1.14111458751284,-0.584413385279996,0.21508937075096
"1",-0.0115980474554683,"5","female","12","3",0.186399572877857,1.00198448049103,-0.785168939746775
"1",0.992441079217632,"7","couple","34","9",0.372019739071052,0.414023665834645,-0.0165586207994115
"1",0.992441079217632,"7","couple","34","9",0.597665667427192,0.572911787274923,-0.388047705861253
"1",-0.0803457611122211,"8","female","0","9",0.131926894652586,1.14806944198644,-1.10033420139719
"1",-1.45993346521392,"8","male","51","9",0.724659914041987,-0.26517367273174,0.332098697024248
"1",-0.992281452127825,"8","male","17","9",-0.259738771476791,-0.135164864454222,0.705312020699154
"1",-1.75662167231812,"7","female","0","6",2.02010553166152,-0.788091853494519,-0.873355438834391
"1",0.00524511635112664,"4","couple","39","8",-0.561142794886907,-0.863503911429845,1.10242092952491
"1",0.912058547061843,"8","couple","42","9",-0.0149070832440242,0.353569729859509,0.253653453984221
"1",0.912058547061843,"8","couple","42","9",-0.430277400281932,-0.246676549842477,0.815394960807711
"1",-0.671052138184139,"7","couple","13","9",0.0115887888310667,-0.203047985068206,0.652352106850345
"1",-0.851829410724237,"7","male","16","9",0.587858263065146,-0.0224593273417988,0.247816187141964
"1",1.43233607515038,"5","female","29","7",1.62243597793263,-0.114467253464208,-0.790098147191676
"1",-1.67149046776593,"3","female","48","5",-0.271453269350265,0.352561561873257,0.357997717854081
"1",-1.03575457047847,"7","female","53","7",1.0926215363356,0.754489980932917,-1.44692545570632
"1",0.496963490429979,"6","couple","12","9",1.58523924471912,0.326569348084053,-1.5149426908875
"1",1.59264304647235,"5","female","12","3",-0.241617071613249,0.165627039549399,0.499701140467404
"1",1.59264304647235,"5","female","12","4",0.162479087457351,-0.475187862883527,0.7379464113416
"1",0.912058547061843,"7","couple","36","7",-0.538706573868835,1.20565153464624,-0.734894506561927
"1",-0.636680553656914,"6","male","48","9",1.3992267776896,0.768896496708662,-3.01165398117872
"1",-1.81534227809483,"4","male","48","9",-0.305159083817593,-0.680329355542725,0.977824413323032
"1",0.243001738373715,"7","female","6","9",0.328353222204544,0.739138351592691,-0.413266167911512
"1",1.59264304647235,"5","female","0","8",0.155129312697198,1.38216965327341,-2.178200978304
"1",-0.705991873735787,"7","male","32","9",0.853538854424418,0.346235194223781,-0.324262770051598
"1",-0.462247129086376,"4","male","48","6",0.15047146148024,-0.819946297477467,0.887788229914407
"1",-1.02890268158219,"3","male","6","6",1.04231007062674,-1.78184605943453,0.719850046835587
"1",-0.636680553656914,"7","male","55","8",-1.13519317394999,1.6784593828737,-2.39475654284016
"1",-0.380147261291236,"7","couple","42","6",-0.740429015654092,1.25151852144922,-0.742472947083291
"1",-0.380147261291236,"7","couple","42","6",-0.0616702958684571,0.0323163882322773,0.530806304288641
"1",-2.95893366229732,"4","female","0","4",0.18123569295427,0.576691834646301,-0.0862625144304703
"1",0.265370263232111,"6","couple","12","6",0.535705364642145,-0.546915859933262,0.602744146321153
"1",-1.64385862496815,"8","male","0","9",0.0951806214600795,0.469194344318879,0.0851549778130627
"1",1.15920755820467,"4","couple","0","6",-0.442676053215403,-1.18000791376811,1.16900927404238
"1",-1.69385899262433,"7","male","26","3",1.60391207052194,-0.15046140267157,-0.710638519610755
"1",0.650762640874474,"5","female","0","5",0.45693908943735,-1.60501045901196,0.988657295485513
"1",0.928381453451674,"5","couple","26","6",1.54825694735912,-0.616999211766078,-0.193472578354846
"1",-1.32981202942277,"8","male","9","9",1.15256365684671,0.446732861037121,-0.843484226330489
"1",-1.86555380462173,"7","male","12","6",-1.59518235721261,-0.0270532616762786,0.885152157642719
"1",0.352549871227701,"7","couple","0","9",-0.366262095100629,0.973017114760837,-0.359774770237629
"1",1.44510835493778,"4","female","42","2",0.630776029601842,-0.884323966470065,0.700400945702953
"1",1.02375729456875,"8","couple","6","9",-1.42626244500827,0.468272970182609,0.520965998797513
