"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3","topic_4"
"1",-1.65015285942177,"5","male","45","8",-0.133179770863624,-0.0716470906317191,0.0580150312149825,1.53975767370125
"1",-0.440893171041727,"7","couple","17","9",0.564575435659455,0.143468319027141,-0.438373036808524,0.194890283331514
"1",0.170661124731509,"6","male","0","9",0.822758916911564,-0.240015136653491,-0.343664946911187,-0.572195747835632
"1",0.170661124731509,"6","male","0","9",0.439741343774193,-0.485998143479834,0.617311665761535,0.116246248633016
"1",0.619861809594449,"7","female","6","9",0.367731601152364,-0.180243708588247,-0.48908522800268,1.12249113079955
"1",0.619861809594449,"7","female","6","9",-0.235554457569045,1.24700637601976,-0.659443513010462,0.381827951057744
"1",0.47251884654711,"7","couple","42","9",0.534043709149979,-0.0179873938780128,0.360580033803824,-0.738817766896925
"1",0.47251884654711,"7","couple","42","9",0.660154806468076,-0.217777158064597,0.230954039471777,-0.729146384258442
"1",0.378947790367728,"5","female","42","6",0.34797210714639,0.289861129283657,0.529405500077581,-1.50811123651938
"1",-0.930940161109412,"7","female","26","9",0.364972599349739,0.532654280842332,0.0569129153662647,-0.624995024794716
"1",-0.930940161109412,"7","female","26","9",0.0174922720734183,0.0459496805773856,1.09790544356609,-0.346699517608565
"1",-1.39874752158984,"4","male","12","6",-1.1859045560566,-0.765645724726309,-2.03914886389867,2.90034268248976
"1",-2.04326060342066,"5","male","34","8",-1.61914388778738,0.0836383459291205,-2.03611401938923,2.81457743511721
"1",1.00110459748423,"4","female","0","9",0.743732964240898,-0.718733290288199,-0.0880462122441021,0.257764762328935
"1",0.52277648559276,"7","couple","17","9",0.105030124142758,-0.697332358066447,-0.0207110809350349,1.60166212027036
"1",0.52277648559276,"7","couple","17","9",0.427809418069317,0.672951510370648,-0.681653455557595,-0.243485543986534
"1",0.903722726210296,"5","female","17","7",0.319134907172357,0.715557338812528,-1.05581605256224,0.347025277904533
"1",0.462323147781421,"8","couple","34","9",0.378012076622948,0.484027912908258,0.131986456549508,-0.737062269288835
"1",0.801664770426281,"7","couple","24","9",0.308213496398256,0.86203302650436,-0.951348414548221,-0.055710134702101
"1",-1.18132323437842,"6","female","45","6",0.471228315667336,-0.513941353981523,0.828511186327882,-0.663755435149481
"1",-1.09454387444775,"5","male","49","4",0.392213920937427,0.860017495431509,-0.604737787926869,-1.49885132031514
"1",-1.61184913632333,"5","female","42","8",-0.158211347377518,0.418564128119084,0.486707030951896,0.768844419437875
"1",0.600796218858866,"8","couple","49","9",0.692320090433531,-0.368120823052365,0.0136102822153676,-0.0779330716092281
"1",-0.223179442871637,"4","male","0","3",0.0204701485451956,-0.720124078033479,0.669172593231632,1.23194008373064
"1",0.262436489588332,"7","male","48","9",0.173826514476343,-0.531333661215216,1.14465356456475,-0.0977452765760807
"1",0.262436489588332,"7","male","48","9",-0.46094779020667,-1.50755809824762,0.912994730069779,1.83179449173882
"1",-1.54249445688265,"4","female","8","4",-0.602681362330509,0.849022834710075,-0.0994406423505839,1.35343092904731
"1",-0.586441958331171,"7","male","32","5",0.427396085069489,-0.0885955490687016,-0.139479350719656,0.686965523490538
"1",-0.816004109840867,"7","couple","17","6",0.771593689232979,-0.463016111538464,0.216186570330169,-1.22335102985676
"1",0.657487554974611,"7","female","8","7",-0.875249751481538,0.752974287646262,0.0785183425086325,1.63083990971774
"1",0.657487554974611,"4","male","26","7",-0.385533661164614,0.901408250703676,-1.19311970201985,1.43052359572239
"1",1.00110459748423,"6","female","12","5",0.778528496674527,0.00318828373487595,-0.311913135947734,-1.50378084543818
"1",1.00110459748423,"6","female","12","5",0.194653287082183,0.21603496737254,0.312108057695476,0.453891392675463
"1",0.9691370910518,"6","couple","51","9",-0.281450372168382,0.656651623692265,1.03167697149944,-0.677054119015827
"1",0.9691370910518,"6","couple","51","9",-0.213238916328642,1.56448309248246,-0.999755605899497,-1.14792996320791
"1",0.378947790367728,"8","female","39","9",0.432866915899594,-0.19818722629824,0.290423076526629,0.33408846076564
"1",-1.44503424545955,"7","female","8","9",0.4851247844522,-0.335692367888042,0.780182048771002,-1.49979887247001
"1",-0.00863121418805884,"5","female","12","3",-0.0248345953299923,0.752277771145272,0.491795958282434,-0.389577916315721
"1",1.0789814054726,"8","couple","6","9",-0.152774202903934,0.0302719340393816,0.976071998895828,0.552982282172458
"1",-0.0777689864179414,"8","female","0","9",0.201944353262644,0.457125645692502,0.533370756278875,-0.663719676072479
"1",-0.0777689864179414,"8","female","0","9",-0.138828393179384,0.779209582225368,-0.0175324797504312,0.69014638819043
"1",-1.46518415099427,"8","male","51","9",0.545931145244749,0.0934866710590932,0.0988927963552958,-0.390831018462661
"1",0.00830751382121197,"4","couple","39","8",0.934694635139898,-0.229539081405338,-1.02455454552393,-0.565977095444586
"1",0.920265993495215,"8","couple","42","9",0.232986024673519,0.529407415532049,0.221125386361328,-0.202101819835671
"1",0.920265993495215,"8","couple","42","9",0.769110986009902,-0.0593432639333472,-0.574282950550572,-0.263319620628429
"1",1.44349545553825,"5","female","29","7",-0.20917773338921,0.672793260672136,0.746464784081244,-0.0269591107544303
"1",-1.67794147888311,"3","female","48","5",0.379920012483156,0.355964007211202,0.337867962842505,-0.901800521580816
"1",-1.03859856364853,"7","female","53","7",-0.98188693072701,0.270504742671693,1.34410709167095,0.998908155447967
"1",0.502815783842387,"6","couple","12","9",0.420430470251659,-0.38865646388169,0.761563312593017,-0.313260611253156
